IP,数据中心,网络延迟
172.64.228.0/24,NRT,134 ms
104.21.62.0/24,LAX,347 ms
104.21.199.0/24,LAX,347 ms
162.159.45.0/24,LAX,362 ms
104.21.193.0/24,LAX,382 ms
162.159.39.0/24,LAX,383 ms
104.21.206.0/24,SEA,386 ms
104.21.204.0/24,SEA,389 ms
104.21.195.0/24,SEA,402 ms
104.21.207.0/24,LAX,406 ms
172.67.143.0/24,LAX,415 ms
104.21.192.0/24,SEA,415 ms
104.21.63.0/24,LAX,428 ms
104.21.49.0/24,LAX,432 ms
104.20.17.0/24,HKG,441 ms
104.21.54.0/24,SEA,441 ms
104.21.198.0/24,LAX,447 ms
104.20.22.0/24,HKG,452 ms
104.20.26.0/24,HKG,453 ms
104.20.31.0/24,HKG,454 ms
104.20.29.0/24,HKG,458 ms
104.20.20.0/24,HKG,463 ms
104.20.30.0/24,HKG,464 ms
104.20.19.0/24,HKG,470 ms
104.20.16.0/24,HKG,470 ms
104.20.27.0/24,HKG,476 ms
104.20.21.0/24,HKG,485 ms
104.20.25.0/24,HKG,488 ms
104.20.23.0/24,HKG,505 ms
104.20.155.0/24,SJC,508 ms
104.20.15.0/24,SJC,509 ms
104.19.6.0/24,SJC,512 ms
104.21.229.0/24,SJC,513 ms
104.20.53.0/24,SJC,514 ms
104.20.206.0/24,SJC,515 ms
104.19.43.0/24,SJC,515 ms
104.21.113.0/24,SJC,518 ms
104.20.18.0/24,HKG,521 ms
104.20.208.0/24,SJC,521 ms
104.20.177.0/24,SJC,522 ms
104.20.76.0/24,SJC,522 ms
104.23.122.0/24,SJC,523 ms
104.27.68.0/24,SJC,523 ms
104.20.165.0/24,SJC,524 ms
104.23.118.0/24,SJC,524 ms
104.20.136.0/24,SJC,524 ms
104.21.126.0/24,SJC,525 ms
104.20.173.0/24,SJC,525 ms
104.21.83.0/24,SJC,525 ms
104.20.94.0/24,SJC,525 ms
104.27.22.0/24,SJC,526 ms
104.21.24.0/24,SJC,527 ms
104.21.47.0/24,SJC,527 ms
104.20.200.0/24,SJC,527 ms
104.22.71.0/24,SJC,528 ms
104.20.77.0/24,SJC,528 ms
104.19.173.0/24,SJC,529 ms
104.20.191.0/24,SJC,529 ms
104.19.206.0/24,SJC,530 ms
104.21.89.0/24,SJC,530 ms
104.20.184.0/24,SJC,531 ms
104.27.19.0/24,SJC,531 ms
104.21.103.0/24,SJC,532 ms
